TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
31.997097506,0.117745,0.00169507,0.000544148,0.818821,2.05274,0.110638,0.412089,0.0982559,2.39344,0.0125147,0.13608,2.31318
32.043537415,0,0,0.127138,0.580912,2.38522,0.111405,0.500137,0,2.55118,0.00631439,0.11979,2.2367
32.089977324,0.0136731,0.00177707,0.181997,0.45481,2.15228,0.00817351,0.661944,0.016572,2.42683,0.0674663,0.530128,2.39827
32.136417234,0.0625966,0.00106451,0.395828,0.242869,2.18169,0,0.814014,0.0204956,2.54809,0.0861207,0.304351,2.30188
32.182857143,0.165755,0.00537525,0.591843,0.482138,2.07243,0.00574799,0.63213,0.0428448,2.58367,0.064655,0.0542609,1.56002
32.229297052,0.211927,0,0.754226,0.32155,2.09039,0.00599838,0.428629,0.0438133,2.75711,0.00392303,0.00107341,1.36883
32.275736961,0.244337,0.000949383,0.462019,0.070019,2.28286,0.0910047,0.202505,0.019359,2.96601,0,0.118073,1.52744
32.322176871,0.197255,0.000715505,0.558182,0.194861,1.98131,0.15191,0.0838334,0.000212727,3.18335,0,0.333651,1.45952
32.368616780,0.0717193,0.0591073,0.611886,0.347263,2.28472,0.21602,0.0879747,0.00676139,3.20235,0,0.442066,1.00647
32.415056689,0.0663352,0.12271,0.638232,0.482153,2.32762,0.21099,0.171617,0.032911,3.23214,0.021539,0.360401,1.45252
32.461496599,0.324596,0.0209366,0.871587,0.738589,2.13865,0.0338564,0.165333,0.0510626,3.02807,0.0530269,0.0013891,1.54011
32.507936508,0.447316,0.00271852,1.02769,1.01659,1.65202,0.00429611,0.421888,0.0492686,2.00525,0.337865,0,1.75841
32.554376417,0.482814,0.00281037,1.00631,1.13871,1.57358,0.0725399,1.01888,0.11039,1.05624,0.0578003,0,1.89746
32.600816327,0.594355,0.000212348,0.784591,0.554367,1.79535,0.0139253,1.72512,0.00826567,1.13829,0.00680758,0.0608071,2.23605
32.647256236,0.283774,0.0458034,0.566243,0.349546,1.63654,0.00200045,2.19867,0.0010459,1.02569,0.102122,0,2.80985
32.693696145,0.00942437,0.00615575,0.889406,0.0724031,1.59203,0.0275421,1.98684,0.0745844,0.967019,0.0816631,0.118581,2.94679
32.740136054,0.0290156,0.00051402,0.918722,0.0469605,2.03553,0.106116,1.35789,0.0410222,2.10261,0.078511,0.240118,2.27908
32.786575964,0.0735396,0.00169168,0.779507,0.168888,2.22986,0,1.19717,0.036631,2.5467,0.0710929,0.0803998,1.90634
32.833015873,0.0946758,0.00245489,0.328681,0.282115,2.48559,0.00143023,0.947865,0.0258732,2.74155,0.109603,0.398997,1.91534
32.879455782,0.0861414,0.00233331,0.260547,0.219037,2.74717,0.000717799,0.766803,0.00319646,2.65174,0.0678986,0.0178536,2.13472
32.925895692,0,0.00215795,0.299417,0.0762199,2.40524,0.163818,1.14921,0.0586171,1.9951,0.0173174,0.0975471,2.69953
32.972335601,0,0.132367,0.461227,0.154824,1.58346,0.256749,1.43745,0.36401,0.780323,0.0795884,0.191993,2.88981
33.018775510,0,0.218142,0.617333,0.156893,1.19315,0.316725,1.3298,0.873916,0.21159,0.0567186,0.194912,2.73403
33.065215420,0.0281856,0.076274,1.16146,0.256924,1.60609,0.332383,0.939826,0.959827,0.77222,0.0428484,0.112878,2.53558
33.111655329,0.510171,0.00279305,1.24565,0.458944,1.63081,0.158397,0.442094,0.116027,2.364,0.0297219,0.00661742,2.145
33.158095238,0.405024,0.00316974,1.11628,0.688361,0.828965,0.508792,0.308826,0.00252132,2.72037,0.0233721,0,2.25957
33.204535147,0.376615,0.00287026,0.953172,0.915798,0.894199,0.448211,0.333354,0.0841138,2.66744,0.017802,0.194193,1.69076
33.250975057,0.348836,0.00610197,0.874461,0.918037,1.70781,0.170981,0.482133,0.146012,2.11953,0.171397,0.205965,0.684963
33.297414966,0.284408,0.0027911,0.544928,0.902989,2.63565,0.0510487,0.575969,0.062812,1.79727,0.309554,0.194465,0.710479
33.343854875,0.146556,0.000925423,0.427883,0.648324,2.67044,0.000767537,0.645272,0.123944,1.78383,0.290848,0.287568,1.47556
33.390294785,0,0.00818092,0.13106,0.704491,2.42085,0.0176381,0.764088,0.746205,1.60048,0.171241,0.285571,1.69989
33.436734694,0,0.0610204,0.211521,0.665909,1.99284,0.0106948,0.776945,1.6211,0.429815,0.150255,0.10896,2.21824
33.483174603,0.0660042,0.0885844,0.370631,0.468472,1.88211,0.0195847,0.697313,1.68795,0.478664,0.12641,0,2.36138
33.529614512,0.122495,0.0957936,0.298131,0.507437,1.81923,0.116376,0.434054,1.55696,0.665145,0.0154582,0.0107893,2.59353
33.576054422,0.0786392,0.23036,0.506826,0.46908,1.60295,0.132083,0.412205,0.903689,1.09465,0,0.000660347,2.71743
33.622494331,0.0859567,0.262764,0.720143,0.45586,1.62007,0.179014,0.612692,0.310828,1.45888,0,8.95954e-05,2.60255
33.668934240,0.0292104,0.233896,0.921705,0.462043,1.7059,0.247743,1.03116,0.00190008,1.87242,0,0,2.7849
33.715374150,0,0.0432704,0.964502,0.349046,1.70835,0.776566,0.907915,0.0479943,1.95991,0.0967871,0,2.52579
33.761814059,0.142798,0,0.6225,0.85377,0.917864,1.61114,0.726242,0.180461,1.22443,0.282527,0,2.11299
33.808253968,0.225739,0,0.418097,1.08837,0.743183,1.94824,0.545809,0.317636,0.640645,0.378978,0.0188128,2.26896
33.854693878,0.161984,0,0.322063,0.923068,1.22139,1.80165,0.358342,0.216562,0.578426,0.332198,0.133212,2.46455
33.901133787,0.668245,0.00282111,0.350201,0.534974,1.91142,1.52513,0.341429,0.33025,0.450593,0.167094,0.038862,2.22257
33.947573696,0.926095,0.00360921,0.29656,1.0643,2.14957,0.806067,0.394969,1.16963,0.285037,0.0442678,0.0244731,1.60104
33.994013605,0.997757,0.00165769,0.208867,1.39485,1.80611,0.533425,0.211655,1.34525,0.0885878,0.00168804,0.00187191,1.39566
34.040453515,1.19905,0.00128984,0.389162,1.26534,1.46822,0.583604,0.114052,1.32638,0.173417,0.000603046,0.00181723,1.17126
34.086893424,0.977668,0.0837305,0.687581,0.907294,1.12837,0.588309,0.31066,0.836842,0.531605,0.349262,0.000641781,1.42054
34.133333333,0.59929,0.0737151,1.08908,0.660666,0.82712,0.268458,1.15618,0.0316054,0.532925,0.382638,0.397162,2.12652
34.179773243,0.219889,0.00159806,0.201617,0.865922,0.927587,0,1.2841,0.0267617,0.0776409,0.3902,0.637463,2.67741
34.226213152,0.00744965,0.00255288,0.145943,1.96191,0.545206,0,1.86255,0.0224163,0.00332136,0.343396,0.45667,3.32756
34.272653061,0,0.00210172,0.079058,2.50015,0.0368591,0.0377308,2.02878,0.00218083,0.00803602,0.401349,0.358399,3.64856
34.319092971,0,0.00161016,0.0275883,2.83225,0,0.0333092,2.2485,0,0,0.727975,0.294825,3.66812
34.365532880,0.522591,3.8296e-05,0.00444508,2.20475,0.0434622,0.0895761,2.27915,0,0,0.955263,0.264979,3.14388
34.411972789,0.985353,0,0.0564712,1.32778,0.198575,0.150097,2.13478,0,0.0196772,0.951977,0.309238,2.76401
34.458412698,1.00742,0,0.155806,1.35985,0.307671,0.0911179,1.824,0.011017,0.0235749,0.932705,0.323201,2.41053
34.504852608,0.774111,0,0.175515,1.23213,0.388192,0.112678,1.96036,0.06686,0.0156943,0.845793,0.164168,2.2169
34.551292517,0.345706,0,0.233962,1.11531,0.177623,0.0659243,2.0986,0,0.00565636,0.779737,0.279385,1.9812
34.597732426,0.0059638,0.337919,0.122799,0.85312,0.144041,0.106509,2.06858,0.113332,0.00945664,0.431174,0.373094,2.07727
34.644172336,0.00335651,0.454535,0.120925,1.02709,0.384061,0.0326522,2.05004,0.0748119,0.0114299,0.26063,0.280522,2.10265
34.690612245,0.00902188,0.432113,0.061616,1.34833,0.442916,0.0740965,2.44386,0.0530077,0.00759142,0.368954,0.10725,2.22268
34.737052154,0.0313871,0.694278,0.000430202,1.03224,0.32899,0.104829,2.79631,0.0435245,0.0855839,0.583621,0.261872,2.14054
34.783492063,0,0.94833,0.150911,0.550877,0.0950401,0.137133,2.558,0.143781,0.183398,0.28319,0.510288,2.18649
34.829931973,0.00782886,0.858401,0.155501,0.648547,0.120352,0.0693549,2.2981,0.0530931,0.0860849,0.0270396,0.563273,2.43138
34.876371882,0.0202067,0.749066,0.119828,0.794315,0.186431,0.044395,2.34223,0.0990563,0.0752702,0,0.503753,2.57857
34.922811791,0,0.829324,0.201833,0.767559,0.258977,0.175326,2.10916,0.244801,0.0871968,0.11117,0.477559,2.43155
34.969251701,0.0037765,0.897095,0.155158,0.904764,0.119706,0.347274,2.14632,0.424223,0.0668233,0.450864,0.354258,2.35764
35.015691610,0,0.90338,0.0219182,1.19682,0.105839,0.375745,1.79453,0.550299,0.0204071,0.77055,0.220653,2.29173
35.062131519,0.28537,0.751727,0.291854,1.03876,0.305227,0.039317,1.38157,0.503213,0.00580393,0.853911,0,2.06481
35.108571429,0.507699,0.533627,0.384885,0.859255,0.357727,0.0304754,1.47348,0.422754,0.00530601,0.847697,0.110869,1.41883
35.155011338,0.566306,0.500372,0.348581,0.805889,0.437944,0.0552876,1.56483,0.52953,0.0117613,0.789967,0.10796,1.33897
35.201451247,0.402514,0.516096,0.00824685,0.777775,0.349447,0.463591,1.54647,0.398997,0.0238269,0.453388,0.046112,1.17297
35.247891156,0.25192,0.262914,0.0401178,0.618805,0.216289,0.448992,1.95751,0.275783,0.0517473,0.306667,0.568443,1.19046
35.294331066,0.0758998,0.276127,0.111541,0.290327,0.176116,0.392377,1.82687,0.0694065,0.0858944,0.426487,0.735109,1.57458
35.340770975,0,0.459141,0.148947,0.417599,0.192968,0.246065,1.74999,0.0505871,0.499718,0.426579,0.388692,2.1793
35.387210884,0,0.331169,0.204754,1.25098,0.190161,0.132482,1.80559,0.0406275,0.896252,0.521778,0.110003,2.46169
35.433650794,0.142061,0.360886,0.239371,1.96898,0.040142,0,1.62861,0.00744067,1.3109,0.426333,0.00159224,2.21447
35.480090703,0.258178,0.441815,0.048013,2.15521,0.0834993,0.0597309,1.42568,0.040278,1.66458,0.223906,0.000460336,1.82254
